0alias	0alias is deprecated. use '0install add' instead.0alias is deprecated. use '0install add' instead. 
omcmd	omcmd is a scriptable cli program for performing actions on a running isc dhcp server using omapi. it can currently be used to create, remove, modify and look up hosts and leases. note that host and lease objects have persistent storage in the leases file. the keyname and secret are the same as the values in the dhcpd.conf file; the secret should be base64 encoded. if using a 'keyfile', line1=keyname, line2=secret. the -v option affects the lookup|find command, see below.the
omega	run the omega typesetter on file, usually creating file.dvi. if the file argument has no extension, ".tex" will be appended to it. instead of a filename, a set of omega commands can be given, the first of which must start with a backslash. with a &format argument omega uses a different set of precompiled commands, contained in format.fmt; it is usually better to use the -fmt format option instead. omega is a version of the tex program modified for multilingual
omnicpp	this manual page documents briefly the omnicpp command. omniidl is omniorbs idl compiler and uses omnicpp as it's c preprocessor. omnicpp is really just the gnu c preprocessor under a different name. normally you should not need to invoke this directly but should use omniidl instead.different name. normally you should not need to invoke this directly but should use omniidl instead. 
omniidl	omniidl is the omniorb idl compiler front end. if a back-end is not specified, it checks the input idl file for validity, and produces no output. usually, a language mapping back-end is specified, so stubs and skeletons in the target language are produced. the input files are processed by the c preprocessor before they are parsed by the compiler.the input files are processed by the c preprocessor before they are parsed by the compiler. 
ompi-checkpoint	orte-checkpoint can be invoked multiple, non-overlapping times. it is convenient to note that the user does not need to spectify the checkpointer to be used here, as that is determined completely by each of the running process in the job being checkpointed.be used here, as that is determined completely by each of the running process in the job being checkpointed. 
ompi-iof	ompi-iof displays a copy of the indicated stdout, stderr, and/or stddiag streams from the designated process. at this time, a ctrl-c must be used to terminate the program. the program will terminate cleanly, telling the associated mpirun to close the requested streams before exiting.terminate the program. the program will terminate cleanly, telling the associated mpirun to close the requested streams before exiting. 
ompi-ps	ompi-ps displays the state of jobs running inside an open rte universe.ompi-ps displays the state of jobs running inside an open rte universe. 
ompi-restart	ompi-restart can be invoked multiple, non-overlapping times. this allows the user to restart a previously running parallel job.ompi-restart can be invoked multiple, non-overlapping times. this allows the user to restart a previously running parallel job. 
ompi-server	ompi-server acts as a data server for open mpi jobs to exchange contact information in support of mpi-2's publish_name and lookup_name functions.ompi-server acts as a data server for open mpi jobs to exchange contact information in support of mpi-2's publish_name and lookup_name functions. 
ompi_info	ompi_info provides detailed information about the open mpi installation. it can be useful for at least three common scenarios: 1. checking local configuration and seeing how open mpi was installed. 2. submitting bug reports / help requests to the open mpi community (see http://www.open-mpi.org/community/help/) 3. seeing a list of installed open mpi plugins and querying what mca parameters they support.3. seeing a list of installed open mpi plugins and querying what mca parameters they support. 
omshell	the omapi command shell, omshell, provides an interactive way to connect to, query, and possibly change, the isc dhcp server's state via omapi, the object management api. by using omapi and omshell, you do not have to stop, make changes, and then restart the dhcp server, but can make the changes while the server is running. omshell provides a way of accessing omapi. omapi is simply a communications mechanism that allows you to manipulate objects. in order to actually use
on_ac_power	this manual page documents briefly the on_ac_power command. on_ac_power is a command line program to test whether the computer is running on line poweron_ac_power is a command line program to test whether the computer is running on line power 
onnode	onnode is a utility to run commands on a specific node of a ctdb cluster, or on all nodes. the nodes option specifies which node to run a command on. you can specify a numeric node number (from 0 to n-1) or a descriptive node specification (see descriptive node specifications below). you can also specify lists of nodes, separated by commas, and ranges of numeric node numbers, separated by dashes. if nodes are specified multiple times then the command will
onsgmls	onsgmls parses and validates the sgml document whose document entity is specified by the system identifiersonsgmls parses and validates the sgml document whose document entity is specified by the system identifiers 
oo2po	see: http://translate.sourceforge.net/wiki/toolkit/oo2po for examples and usage instructionsinstructions 
oo2xliff	user documentation: http://translate.sourceforge.net/wiki/toolkit/oo2pouser documentation: http://translate.sourceforge.net/wiki/toolkit/oo2po 
oodist	the "oodist" script is currently only usable on unix in combination with makefile.pl. it is a smart wrapper around the oodoc module, to avoid start work to produce real pod for modules which use oodoc's pod extensions. html is not (yet) supported. configuringconfiguring 
oogl2rib	this manual page documents briefly the oogl2rib command. oogl2rib convert oogl file to renderman rib format. default: read from stdin, write to stdout. accepts "-" as infile/outfile.oogl2rib convert oogl file to renderman rib format. default: read from stdin, write to stdout. accepts "-" as infile/outfile. 
oogl2vrml	this manual page documents briefly the oogl2vrml command. oogl2vrml convert oogl file to vrml format. writes to standard output. reads from stdin if no file specified.oogl2vrml convert oogl file to vrml format. writes to standard output. reads from stdin if no file specified. 
op	the op tool provides a flexible means for system administrators to grant trusted users access to certain root operations without having to give them full superuser privileges. different sets of users may access different operations, and the security-related aspects of environment of each operation can be carefully controlled.can be carefully controlled. 
op_help	by default, op_help lists the available performance counter options. if you give it a symbolic event name, it will return the hardware value (e.g. "op_help data_mem_refs")."op_help data_mem_refs"). 
opal_wrapper	opal_wrapper is not meant to be called directly by end users. it is automatically invoked as the back-end by the open mpi wrapper commands such as: mpicc, mpicc, mpic++, mpif77, and mpif90. some open mpi installations may have additional wrapper commands, and/or have renamed the wrapper compilers listed above to avoid executable name conflicts with other mpi implementations. hence, you may also have wrapper compilers installed including the following names: mpif90.openmpi, mpif77.openmpi, mpicxx.openmpi, mpicc.openmpi, mpicc.openmpi, mpic++.openmpi, opalcc, opalc++, ortecc, and
opannotate	opannotate outputs annotated source and/or assembly from profile data of an oprofile session. see oprofile(1) for how to write profile specifications.specifications. 
oparchive	oparchive generates a directory populated with executable, debug, and oprofile sample files. this directory can be move to another machine via tar and analyzed without further use of the data collection machine. see oprofile(1) for how to write profile specifications.and analyzed without further use of the data collection machine. see oprofile(1) for how to write profile specifications. 
opcontrol	opcontrol can be used to start profiling, end a profiling session, dump profile data, and set up the profiling parameters.opcontrol can be used to start profiling, end a profiling session, dump profile data, and set up the profiling parameters. 
opdvips	this man page is obsolete! see the texinfo documentation instead. you can read it either in emacs or with the standalone info program which comes with the gnu texinfo distribution as prep.ai.mit.edu:pub/gnu/texinfo*.tar.gz. the program dvips takes a dvi file file[.dvi] produced by tex (or by some other processor such as gftodvi) and converts it to postscript, normally sending the result directly to the (laser)printer. the dvi file may be specified without the .dvi extension. fonts used may either be resident
openapp	the openapp command allows you to launch graphical gnustep applications from the command line. application is the complete or relative name of the application program with or without the .app extension, like ink.app. arguments are the arguments passed to the application. openapp first checks whether the application is in the current working directory. if not then searches the gnustep domains' applications folders in the following order: user (i.e. ~/gnustep/applications), local, network, system. first match wins.the following order: user (i.e. ~/gnustep/applications),
openbox	openbox is minimalistic, highly configurable, next generation window manager with extensive standards support. you can start openbox in three ways: if you run a display manager such as gdm, you will find 3 entries in the login session type menu for openbox: gnome/openbox, kde/openbox and openbox. if you want to use openbox within gnome or kde, you can choose the appropriate entry, and it will launch gnome or kde with openbox as the window manager. the third option at log
openbox-gnome-session	openbox-gnome-session runs a gnome session with openbox as the window manager. openbox-gnome-session does not take any command line arguments.openbox-gnome-session does not take any command line arguments. 
openbox-kde-session	openbox-kde-session runs a kde session with openbox as the window manager. openbox-kde-session does not take any command line arguments.openbox-kde-session does not take any command line arguments. 
openbox-session	openbox-session runs an openbox session without any session manager. without a session manager, you will not be able to save your state from one log in to the next. openbox-session does not take any command line arguments. on log in, openbox-session will run the ~/.config/openbox/autostart.sh script if it exists, and will run the system-wide script /etc/xdg/openbox/autostart.sh otherwise. you may place anything you want to run automatically in those files, for example: xsetroot -solid grey & gnome-settings-daemon & make sure that
openchangeclient	openchangeclient is a mapi command line tool designed to facilitate mail send, receive and delete operations using the mapi protocol. it also provides operations on tasks, contacts (address book) and calendar operations.delete operations using the mapi protocol. it also provides operations on tasks, contacts (address book) and calendar operations. 
openchangepfadmin	openchangepfadmin is a administrative command line tool designed to facilitate user management related operations (create, delete, modify) on a remote exchange server and manage public folder store and permissions.operations (create, delete, modify) on a remote exchange server and manage public folder store and permissions. 
opendkim-spam	opendkim-spam accepts a regular format message (rfc5322) on standard input and uses it to update a local sql database being updated by opendkim(8) with an indiciation that a user believes the input message is spam or otherwise abusive. this feedback is important input toward developing dkim-based domain reputation systems. the tool is intended to be used directly from within shell-based mail readers such as alpine(1) or mutt(1) using a "pipe" command, which feeds the message being read to the specified
opengrok	opengrok is a fast and usable source code search and cross reference engine written in pure java. it helps you search, cross-referenece and navigate your source tree. it can understand various program file formats and version control histories.source tree. it can understand various program file formats and version control histories. 
openipmicmd	the openipmicmd program allows a user to execute direct ipmi commands. it can work with direct interface with the openipmi driver or with ipmi lan interfaces.direct interface with the openipmi driver or with ipmi lan interfaces. 
openipmigui	openipmigui is a gui interface using the openipmi library. it provides a tree-structured view of the ipmi domains it connected to. by default openipmigui starts up with no connections or anything of that nature. you must open connection to domains yourself. however, you may save your current configuration and the current domains and some gui settings; these will be automatically restored at startup. the main window has a tree on the left and a log window on the right. the
openipmish	the openipmish is a command interpreter that gives the full power of the openipmi library to a user-level command language. it is designed so it can easily be driven with a scripting language like tcl, it has well-formed output. openipmish starts up with no connections or anything of that nature. you must enter commands to make connections to domains.openipmish starts up with no connections or anything of that nature. you must enter commands to make connections to domains. 
openjade	openjade is an implementation of the iso/iec 10179:1996 standard dsssl language. the dsssl engine receives as input an sgml or xml document and transforms it into formats like: * xml representation of the flow object tree. * rtf format that can be rendered and printed with microsoft's free word viewer 97 * tex format * mif format that can be rendered and printed with framemaker * sgml or xml format. this is used in conjunction with non-standard flow object classes
openocd	openocd is an on-chip debugging, in-system programming and boundary-scan testing tool for various arm and mips systems. the debugger uses an ieee 1149-1 compliant jtag tap bus master to access on-chip debug functionality available on arm based microcontrollers or system-on-chip solutions. for mips systems the ejtag interface is supported. user interaction is realized through a telnet command line interface, a gdb (the gnu debugger) remote protocol server, and a simplified rpc connection that can be used to interface with openocd's
openrisc-linux-gnu-addr2line	addr2line translates addresses into file names and line numbers. given an address in an executable or an offset in a section of a relocatable object, it uses the debugging information to figure out which file name and line number are associated with it. the executable or relocatable object to use is specified with the -e option. the default is the file a.out. the section in the relocatable object to use is specified with the -j option. addr2line has two modes
openrisc-linux-gnu-ar	the gnu ar program creates, modifies, and extracts from archives. an archive is a single file holding a collection of other files in a structure that makes it possible to retrieve the original individual files (called members of the archive). the original files' contents, mode (permissions), timestamp, owner, and group are preserved in the archive, and can be restored on extraction. gnu ar can maintain archives whose members have names of any length; however, depending on how ar is configured
openrisc-linux-gnu-as	gnu as is really a family of assemblers. if you use (or have used) the gnu assembler on one architecture, you should find a fairly similar environment when you use it on another architecture. each version has much in common with the others, including object file formats, most assembler directives (often called pseudo-ops) and assembler syntax. as is primarily intended to assemble the output of the gnu c compiler "gcc" for use by the linker "ld". nevertheless, we've tried to
openrisc-linux-gnu-c++filt	the c ++ and java languages provide function overloading, which means that you can write many functions with the same name, providing that each function takes parameters of different types. in order to be able to distinguish these similarly named functions c ++ and java encode them into a low-level assembler name which uniquely identifies each different version. this process is known as mangling. the c++filt [1] program does the inverse mapping: it decodes (demangles) low-level names into user-level names
openrisc-linux-gnu-dlltool	dlltool reads its inputs, which can come from the -d and -b options as well as object files specified on the command line. it then processes these inputs and if the -e option has been specified it creates a exports file. if the -l option has been specified it creates a library file and if the -z option has been specified it creates a def file. any or all of the -e, -l and -z options can be present in
openrisc-linux-gnu-elfedit	elfedit updates the elf header of elf files which have the matching elf machine and file types. the options control how and which fields in the elf header should be updated. elffile... are the elf files to be updated. 32-bit and 64-bit elf files are supported, as are archives containing elf files.elf files. 
openrisc-linux-gnu-gprof	"gprof" produces an execution profile of c, pascal, or fortran77 programs. the effect of called routines is incorporated in the profile of each caller. the profile data is taken from the call graph profile file (gmon.out default) which is created by programs that are compiled with the -pg option of "cc", "pc", and "f77". the -pg option also links in versions of the library routines that are compiled for profiling. "gprof" reads the given object file (the default is "a.out")
openrisc-linux-gnu-ld	ld combines a number of object and archive files, relocates their data and ties up symbol references. usually the last step in compiling a program is to run ld. ld accepts linker command language files written in a superset of at&t 's link editor command language syntax, to provide explicit and total control over the linking process. this man page does not describe the command language; see the ld entry in "info" for full details on the command language and
openrisc-linux-gnu-ld.bfd	ld combines a number of object and archive files, relocates their data and ties up symbol references. usually the last step in compiling a program is to run ld. ld accepts linker command language files written in a superset of at&t 's link editor command language syntax, to provide explicit and total control over the linking process. this man page does not describe the command language; see the ld entry in "info" for full details on the command language and
openrisc-linux-gnu-nlmconv	nlmconv converts the relocatable i386 object file infile into the netware loadable module outfile, optionally reading headerfile for nlm header information. for instructions on writing the nlm command file language used in header files, see the linkers section, nlmlink in particular, of the nlm development and tools overview, which is part of the nlm software developer's kit (" nlm sdk "), available from novell, inc. nlmconv uses the gnu binary file descriptor library to read infile; nlmconv can perform a
openrisc-linux-gnu-nm	gnu nm lists the symbols from object files objfile.... if no object files are listed as arguments, nm assumes the file a.out. for each symbol, nm shows:for each symbol, nm shows: 
openrisc-linux-gnu-objcopy	the gnu objcopy utility copies the contents of an object file to another. objcopy uses the gnu bfd library to read and write the object files. it can write the destination object file in a format different from that of the source object file. the exact behavior of objcopy is controlled by command-line options. note that objcopy should be able to copy a fully linked file between any two formats. however, copying a relocatable object file between any two formats
openrisc-linux-gnu-objdump	objdump displays information about one or more object files. the options control what particular information to display. this information is mostly useful to programmers who are working on the compilation tools, as opposed to programmers who just want their program to compile and work. objfile... are the object files to be examined. when you specify archives, objdump shows information on each of the member object files.files. 
openrisc-linux-gnu-ranlib	ranlib generates an index to the contents of an archive and stores it in the archive. the index lists each symbol defined by a member of an archive that is a relocatable object file. you may use nm -s or nm --print-armap to list this index. an archive with such an index speeds up linking to the library and allows routines in the library to call each other without regard to their placement in the archive. the gnu ranlib program
openrisc-linux-gnu-readelf	readelf displays information about one or more elf format object files. the options control what particular information to display. elffile... are the object files to be examined. 32-bit and 64-bit elf files are supported, as are archives containing elf files. this program performs a similar function to objdump but it goes into more detail and it exists independently of the bfd library, so if there is a bug in bfd then readelf will not be affected.there is a bug in
openrisc-linux-gnu-size	the gnu size utility lists the section sizes---and the total size---for each of the object or archive files objfile in its argument list. by default, one line of output is generated for each object file or each module in an archive. objfile... are the object files to be examined. if none are specified, the file "a.out" will be used.objfile... are the object files to be examined. if none are specified, the file "a.out" will be used. 
openrisc-linux-gnu-strings	for each file given, gnu strings prints the printable character sequences that are at least 4 characters long (or the number given with the options below) and are followed by an unprintable character. by default, it only prints the strings from the initialized and loaded sections of object files; for other types of files, it prints the strings from the whole file. strings is mainly useful for determining the contents of non-text files.strings is mainly useful for determining the contents
openrisc-linux-gnu-strip	gnu strip discards all symbols from object files objfile. the list of object files may include archives. at least one object file must be given. strip modifies the files named in its argument, rather than writing modified copies under different names.strip modifies the files named in its argument, rather than writing modified copies under different names. 
openrisc-linux-gnu-windmc	windmc reads message definitions from an input file (.mc) and translate them into a set of output files. the output files may be of four kinds:kinds: 
openrisc-linux-gnu-windres	windres reads resources from an input file and copies them into an output file. either file may be in one of three formats:windres reads resources from an input file and copies them into an output file. either file may be in one of three formats: 
opensc-explorer	the opensc-explorer utility can be used interactively to perform miscellaneous operations such as exploring the contents of or sending arbitrary apdu commands to a smart card or similar security token.commands to a smart card or similar security token. 
opensc-tool	the opensc-tool utility can be used from the command line to perform miscellaneous smart card operations such as getting the card atr or sending arbitrary apdu commands to a card.arbitrary apdu commands to a card. 
openssl	openssl is a cryptography toolkit implementing the secure sockets layer ( ssl v2/v3) and transport layer security ( tls v1) network protocols and related cryptography standards required by them. the openssl program is a command line tool for using the various cryptography functions of openssl's crypto library from the shell. it can be used for o  creation and management of private keys, public keys and parameters o  public key cryptographic operations o  creation of x.509 certificates, csrs
openstack-config	provide functionality to add/edit/delete items and sections in the openstack ini format config files.provide functionality to add/edit/delete items and sections in the openstack ini format config files. 
openstack-db	set up a local database (mysql) for use with openstack-<service>. this script will create a '<service>' database that is accessible only on localhost by user '<service>' with password '<service>'. the setup of a database with a multi-server openstack installation is outside of the scope of this simple helper script.multi-server openstack installation is outside of the scope of this simple helper script. 
openstack-demo-install	install all openstack services on a single node with a default configuration, useful for testing.install all openstack services on a single node with a default configuration, useful for testing. 
openstack-status	query the system for installed openstack services and display both the running state and basic information managed by those services.managed by those services. 
opentool	opentool is obsolete. you should make sure that the tools directories are in your path, and then opentool is not needed anymore.path, and then opentool is not needed anymore. 
openuniverse	this manual page documents briefly the openuniverse command. openuniverse (also called ou) is a fun, fast and free opengl space simulator. it currently focusses on the solar system and lets you visit all of its planets, most major moons and a vast collection of smaller bodies in colorful, glorious and realtime 3d. if you've ever had a chance to visit mercury or asteroid geographos, here you'll find them looking exactly the same way, following exactly the same path as when
openvas-client	the openvas security scanner is a security auditing tool made up of two parts: a server, and a client. the server, openvasd is in charge of the attacks, whereas the client openvas-client provides an interface to the user. openvas-client is an x11 client based on gtk+2. this man page explains how to use the client.this man page explains how to use the client. 
openvas-mkcert-client	the openvas security scanner protects the communication between the client and the server by using ssl. ssl requires the server to present a certificate to the client, and the client can optionally present a certificate to the server. this script openvas-mkcert-client generates a client certificate.this script openvas-mkcert-client generates a client certificate. 
openvas-mkrand	the openvas security scanner protects the communication between the client and the scanner by using ssl. to work securely, the openssl library needs a suitable amount of random bytes. on most system, it uses egd or /dev/random (or /dev/urandom). on systems which have none of these, openvas will provide openssl with a file full of random bytes generated by openvas-mkrand which is stored by default under $home/.rnd. openvas-mkcert and openvas-mkcert-client require user input as a random seed. by default, openvas-mkrand
openvas-nasl	openvas-nasl executes a set of nasl scripts against a given target host. it can also be used to determine if a nasl script has any syntax errors by running it in parse (-p) or lint (-l) mode.used to determine if a nasl script has any syntax errors by running it in parse (-p) or lint (-l) mode. 
openvasclient-mkcert	the openvas security scanner protects the communication between the client and the server by using ssl. ssl requires the server to present a certificate to the client, and the client can optionally present a certificate to the server. this script openvasclient-mkcert generates a client certificate.this script openvasclient-mkcert generates a client certificate. 
openvt	openvt will find the first available vt, and run on it the given command with the given command options, standard input, output and error are directed to that terminal. the current search path ($path) is used to find the requested command. if no command is specified then the environment variable $shell is used.command. if no command is specified then the environment variable $shell is used. 
opgprof	opgprof outputs gprof-format profile data for a given binary image, from an oprofile session. see oprofile(1) for how to write profile specifications.specifications. 
ophelp	by default, ophelp lists the available performance counter options. if you give it a symbolic event name, it will return the hardware value (e.g. "ophelp data_mem_refs")."ophelp data_mem_refs"). 
opimport	opimport converts sample database files from a foreign binary format (abi) to the native format.opimport converts sample database files from a foreign binary format (abi) to the native format. 
opl2ofm	opl2ofm translates a property-list format file, oplfile, into the binary omega font metric format. the program writes to standard output (by default) or to a file specified as ofmfile. the program also works with tex pl files, producing tex tfm files. (opl2ofm is based on the web source code for pltotf(1).)the program also works with tex pl files, producing tex tfm files. (opl2ofm is based on the web source code for pltotf(1).) 
opreport	opreport outputs binary image summaries, or per-symbol data, from oprofile profiling sessions. see oprofile(1) for how to write profile specifications.specifications. 
oprofile	oprofile is a profiling system for systems running linux 2.2, 2.4, and 2.6. profiling runs transparently in the background and profile data can be collected at any time. oprofile makes use of the hardware performance counters provided on intel, amd, and other processors, and uses a timer-interrupt based mechanism on cpus without counters. oprofile can profile the whole system in high detail. for a gentle guide to using oprofile, please read the html documentation listed in see also.for a gentle
opstack	opstack outputs binary callgraph symbol summaries. currently, this requires an x86-based box and a 2.6 kernel patch; see http://oprofile.sf.net/patches/.http://oprofile.sf.net/patches/. 
opt	the opt command is the modular llvm optimizer and analyzer. it takes llvm source files as input, runs the specified optimizations or analyses on it, and then outputs the optimized file or the analysis results. the function of opt depends on whether the -analyze option is given. when -analyze is specified, opt performs various analyses of the input source. it will usually print the results on standard output, but in a few cases, it will print output to standard error
optipng	the optipng program shall attempt to optimize png files, i.e. reduce their size to a minimum, without losing any information. in addition, this program shall perform a suite of auxiliary functions like integrity checks, metadata recovery and pixmap-to-png conversion. the optimization attempts are not guaranteed to succeed. valid png files that cannot be optimized by this program are normally left intact; their size will not grow. the user may request to override this default behavior.not grow. the user may request
orage	orage is a fast and easy to use graphical calendar for the xfce desktop environment. it uses portable ical format and includes common calendar features like repeating appointments and multiple alarming possibilities. orage does not have group calendar features, but can only be used for single user. orage takes a list of files for ical files that should be imported. contents of those files are read and converted into orage, but those files are left untouched. for a more detailed
orbd-java-1.6.0-openjdk	the server manager included with the orbd tool is used to enable clients to transparently locate and invoke persistent objects on servers in the corba environment. the persistent servers, while publishing the persistent object references in the naming service, include the port number of the orbd in the object reference instead of the port number of the server. the inclusion of an orbd port number in the object reference for persistent object references has the following advantages: o the object
orbd-java-1.7.0-openjdk	the server manager included with the orbd tool is used to enable clients to transparently locate and invoke persistent objects on servers in the corba environment. the persistent servers, while publishing the persistent object references in the naming service, include the port number of the orbd in the object reference instead of the port number of the server. the inclusion of an orbd port number in the object reference for persistent object references has the following advantages:the following advantages: 
orca	orca is a screen reader for people with visual impairments, and provides alternative access to the desktop by making use of speech synthesis, braille, and magnification support on the platform. in addition, orca only provides access to applications/toolkits that support the assistive technology service provide interface (at-spi), which include gtk, mozilla, firefox, evolution, openoffice, staroffice, java/swing, etc. warning: suspending orca, e.g. by pressing control-z, from an at-spi enabled shell (such as gnome-terminal), can also suspend the desktop until orca is
originator	originator reads (longitude, latitude, height, radius, crustal_age) records from infiles [or standard input] and uses the given absolute plate motion (apm) stage poles and the list of hotspot locations to determine the most likely origin (hotspot) for each seamount. it does so by calculating flowlines back in time and determining the closest approach to all hotspots. the output consists of the input records with four additional fields added for each of the n_hs closest hotspots. the four fields are the
orte-iof	ompi-iof displays a copy of the indicated stdout, stderr, and/or stddiag streams from the designated process. at this time, a ctrl-c must be used to terminate the program. the program will terminate cleanly, telling the associated mpirun to close the requested streams before exiting.terminate the program. the program will terminate cleanly, telling the associated mpirun to close the requested streams before exiting. 
orte-ps	ompi-ps displays the state of jobs running inside an open rte universe.ompi-ps displays the state of jobs running inside an open rte universe. 
orted	orted starts an open rte daemon for the open mpi system.orted starts an open rte daemon for the open mpi system. 
orterun	one invocation of mpirun starts an mpi application running under open mpi. if the application is single process multiple data (spmd), the application can be specified on the mpirun command line. if the application is multiple instruction multiple data (mimd), comprising of multiple programs, the set of programs and argument can be specified in one of two ways: extended command line arguments, and application context. an application context describes the mimd program set including all arguments in a separate file.
osage	osage draws clustered graphs. as input, it takes any graph in the dot format. it draws the graph recursively. at each level, there will be a collection of nodes and a collection of cluster subgraphs. the internals of each cluster subgraph are laid out, then the cluster subgraphs and nodes at the current level are positioned relative to each other, treating each cluster subgraph as a node. at each level, the nodes and cluster subgraphs are viewed as rectangles to
osc	opensuse build service command-line tool.opensuse build service command-line tool. 
osd_cat	display file, or standard input, on x screen.display file, or standard input, on x screen. 
osgmlnorm	osgmlnorm prints on the standard output a normalized document instance for the sgml document contained in the concatenation of the entities with system identifierssystem identifiers 
osinfo	the osinfo command displays information regarding the operating system, gathered via wbem using the pg_operatingsystem class supported by the operatingsystem provider (bundled with openpegasus). osinfo requires the cim server to be installed and running. by default, the information is formatted for display, converting cimdatetime strings into a more user-readable format (see examples), and converting the total number of seconds of uptime into the appropriate number of days, hours, minutes, and seconds. if a property value is unavailable, it will be
osip	this manual page documents briefly the libosip library. api reference & faq can be found at http://www.fsf.org/software/osip/api reference & faq can be found at http://www.fsf.org/software/osip/ 
osip2	this manual page documents briefly the libosip2 library.this manual page documents briefly the libosip2 library. 
ospam	ospam (opensp add markup) is an sgml markup stream editor implemented using the opensp parser. ospam parses the sgml document contained in sysid and copies to the standard output the portion of the document entity containing the document instance, adding or changing markup as specified by the -m options. the -p option can be used to include the sgml declaration and prolog in the output. the -o option can be used to output other entities. the -x option can be
ospcat	ospcat prints effective system identifiers found in the catalogs on the standard output. it doesn't check that the system identifiers correspond to actual files. the return value is 0 if the last system identifier was successfully created and 1 otherwise.actual files. the return value is 0 if the last system identifier was successfully created and 1 otherwise. 
ospent	ospent (opensp print entity) prints the concatenation of the entities with system identifiersospent (opensp print entity) prints the concatenation of the entities with system identifiers 
osql	osql is a diagnostic tool provided as part of freetds. it is a bourne shell script that checks and reports on your configuration files. if everything checks out ok, it invokes isql. osql works only with the isql that comes with unixodbc.osql works only with the isql that comes with unixodbc. 
osx	osx converts sgml to xml. osx parses and validates the sgml document contained inosx converts sgml to xml. osx parses and validates the sgml document contained in 
otf2bdf	otf2bdf will convert an opentype font to a bdf font using the freetype2 renderer (http://www.freetype.org).(http://www.freetype.org). 
otp2ocp	otp2ocp is used to create or recreate omega compiled process files (binary) from omega translation process (text) files. omega translation processes are rules used to translate one character set to another and to choose between characters with one or more context-sensitive variants. otps could also be used to change the case or hyphenation of text.variants. otps could also be used to change the case or hyphenation of text. 
otr_mackey	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
otr_modify	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
otr_parse	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
otr_readforge	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
otr_remac	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
otr_sesskeys	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
otr_toolkit	off-the-record (otr) messaging allows you to have private conversations over im by providing: - encryption - no one else can read your instant messages. - authentication - you are assured the correspondent is who you think it is. - deniability - the messages you send do not have digital signatures that are checkable by a third party. anyone can forge messages after a conversation to make them look like they came from you. however, during a conversation, your correspondent is
outocp	outocp is used for debugging omega compiled translation process (ocp) files. it generates some statistics about the ocp file, and then runs through the states that the file defines. omega translation processes are rules used to translate one character set to another and to choose between characters with one or more context-sensitive variants. otps could also be used to change the case or hyphenation of text.variants. otps could also be used to change the case or hyphenation of text. 
ovf2ovp	ovf2ovp translates a virtual font (ovf) file, ovfname, and its companion font metric (ofm) file, ofmname, into a human-readable property-list format. the program writes to standard output (by default) or to a file specified as ovpname. the program also works with tex vf and tfm files, producing tex vp files. (ovf2ovp is based on the web source code for vftovp(1).)the program also works with tex vf and tfm files, producing tex vp files. (ovf2ovp is based on the web source
ovp2ovf	ovp2ovf translates a human-readable virtual property list (ovp) file, ovpfile, into a virtual font (ovf) file, ovffile and its companion font metric (ofm) file, ofmfile. the program also works with tex vp files, producing vf and tfm files. (ovp2ovf is based on the web source code for vptovf(1).)the program also works with tex vp files, producing vf and tfm files. (ovp2ovf is based on the web source code for vptovf(1).) 
oxdvi	xdvi is a program for previewing dvi files, as produced e.g. by the tex(1) program, under the x window system. xdvi can show the file shrunken by various integer factors, and it has a ''magnifying glass'' for viewing parts of the page enlarged (see the section magnifier below). this version of xdvi is also referred to as xdvik since it uses the kpathsea library to locate and generate font files. in addition to that, it supports the following features:addition to
oz-cleanup-cache	this is a tool to remove all of the data that oz has cached. because the data that oz caches can grow fairly large, it may be worthwhile to periodically clean it up. this is a simple script to do so. note that if you do cleanup the oz cache, subsequent operating system installs will be slower since oz will have to re-download the installation media.to re-download the installation media. 
